地名,センター,もえるごみ,もえないごみ,有害危険ごみ,資源物2類,資源物1類
イーストシティ,東部環境センター,水 土,木,木,木,金
内谷１～３丁目,東部環境センター,月 木,金,金,金,水
内谷４～７丁目,東部環境センター,火 金,月,月,月,水
円正寺,東部環境センター,火 金,水,水,水,月
大谷口(大字),東部環境センター,火 金,水,水,水,月
大谷口(飛地),西部環境センター,火 金,水,水,水,木
大谷場１・２丁目,西部環境センター,月 木,水,水,水,金
鹿手袋１～７丁目,東部環境センター,月 木,金,金,金,火
白幡１・３～６丁目,西部環境センター,火 金,月,月,月,水
白幡２丁目,東部環境センター,水 土,金,金,金,月
神明１・２丁目,東部環境センター,火 金,木,木,木,月
関１・２丁目,西部環境センター,月 木,金,金,金,火
太田窪,東部環境センター,火 金,水,水,水,月
太田窪２丁目,西部環境センター,月 木,水,水,水,火
太田窪４・５丁目,東部環境センター,月 木,水,水,水,金
辻１・７・８丁目,西部環境センター,水 土,金,金,金,月
辻２～６丁目,西部環境センター,火 金,月,月,月,木
沼影１～３丁目,東部環境センター,火 金,月,月,月,水
根岸１～５丁目,東部環境センター,火 金,木,木,木,水
広ヶ谷戸,東部環境センター,火 金,水,水,水,木
文蔵１～５丁目,東部環境センター,水 土,金,金,金,月
別所１～７丁目,西部環境センター,水 土,火,火,火,月
曲本１～３丁目,西部環境センター,月 木,金,金,金,水
曲本４・５丁目,東部環境センター,火 金,月,月,月,水
松本１～４丁目,西部環境センター,月 木,金,金,金,水
南浦和１～４丁目,西部環境センター,火 金,月,月,月,水
南浦和団地,西部環境センター,水 土,木,木,木,金
南本町１・２丁目,西部環境センター,火 金,木,木,木,月
四谷１～３丁目,西部環境センター,火 金,木,木,木,水

